	1021	3841	CCGE532	CCGM7	CCNWGS0123	CFN42	CIAT899	HAMBI540	IE4803	IRBG74	LMTR13	MAFF303099	Mim1	N161	N561	NGR234	NXC24	ORS2060	ORS285	ORS571	R602	USDA110	USDA6	WSM1325	WSM2073	WSM2304	WSM419
LMTR13	0.7272727272727273	1.0	0.75	1.0	0.75	0.875	0.75	0.75	0.8888888888888888	0.6666666666666666	1.0	0.875	0.875	0.7777777777777778	0.5	0.6666666666666666	0.75	0.4444444444444444	0.875	0.5	0.8888888888888888	0.75	0.875	0.8888888888888888	0.6	0.875	0.7777777777777778
MAFF303099	0.6363636363636364	0.875	0.8571428571428571	0.875	0.8571428571428571	0.75	0.8571428571428571	0.8571428571428571	0.7777777777777778	0.75	0.875	1.0	0.75	0.6666666666666666	0.4	0.5555555555555556	0.8571428571428571	0.5	1.0	0.5714285714285714	0.7777777777777778	0.8571428571428571	1.0	0.7777777777777778	0.6666666666666666	0.75	0.6666666666666666
Mim1	0.6363636363636364	0.875	0.8571428571428571	0.875	0.625	1.0	0.8571428571428571	0.8571428571428571	0.7777777777777778	0.5555555555555556	0.875	0.75	1.0	0.875	0.5555555555555556	0.5555555555555556	0.8571428571428571	0.3333333333333333	0.75	0.375	0.7777777777777778	0.8571428571428571	0.75	0.7777777777777778	0.5	1.0	0.6666666666666666
N161	0.7272727272727273	0.7777777777777778	0.75	0.7777777777777778	0.5555555555555556	0.875	0.75	0.75	0.7	0.5	0.7777777777777778	0.6666666666666666	0.875	1.0	0.6666666666666666	0.6666666666666666	0.75	0.3	0.6666666666666666	0.3333333333333333	0.8888888888888888	0.75	0.6666666666666666	0.7	0.6	0.875	0.6
N561	0.6363636363636364	0.5	0.4444444444444444	0.5	0.4444444444444444	0.5555555555555556	0.4444444444444444	0.4444444444444444	0.6	0.5555555555555556	0.5	0.4	0.5555555555555556	0.6666666666666666	1.0	0.5555555555555556	0.4444444444444444	0.5	0.4	0.375	0.6	0.4444444444444444	0.4	0.6	0.6666666666666666	0.5555555555555556	0.6666666666666666
NGR234	0.6363636363636364	0.6666666666666666	0.4444444444444444	0.6666666666666666	0.625	0.5555555555555556	0.4444444444444444	0.4444444444444444	0.6	0.4	0.6666666666666666	0.5555555555555556	0.5555555555555556	0.6666666666666666	0.5555555555555556	1.0	0.4444444444444444	0.5	0.5555555555555556	0.5714285714285714	0.7777777777777778	0.4444444444444444	0.5555555555555556	0.6	0.6666666666666666	0.5555555555555556	0.5
NXC24	0.5454545454545454	0.75	1.0	0.75	0.7142857142857143	0.8571428571428571	1.0	1.0	0.6666666666666666	0.625	0.75	0.8571428571428571	0.8571428571428571	0.75	0.4444444444444444	0.4444444444444444	1.0	0.375	0.8571428571428571	0.42857142857142855	0.6666666666666666	1.0	0.8571428571428571	0.6666666666666666	0.5555555555555556	0.8571428571428571	0.5555555555555556
ORS2060	0.45454545454545453	0.4444444444444444	0.375	0.4444444444444444	0.5714285714285714	0.3333333333333333	0.375	0.375	0.5555555555555556	0.7142857142857143	0.4444444444444444	0.5	0.3333333333333333	0.3	0.5	0.5	0.375	1.0	0.5	0.8	0.4	0.375	0.5	0.5555555555555556	0.625	0.3333333333333333	0.625
ORS285	0.6363636363636364	0.875	0.8571428571428571	0.875	0.8571428571428571	0.75	0.8571428571428571	0.8571428571428571	0.7777777777777778	0.75	0.875	1.0	0.75	0.6666666666666666	0.4	0.5555555555555556	0.8571428571428571	0.5	1.0	0.5714285714285714	0.7777777777777778	0.8571428571428571	1.0	0.7777777777777778	0.6666666666666666	0.75	0.6666666666666666
ORS571	0.36363636363636365	0.5	0.42857142857142855	0.5	0.6666666666666666	0.375	0.42857142857142855	0.42857142857142855	0.4444444444444444	0.5714285714285714	0.5	0.5714285714285714	0.375	0.3333333333333333	0.375	0.5714285714285714	0.42857142857142855	0.8	0.5714285714285714	1.0	0.4444444444444444	0.42857142857142855	0.5714285714285714	0.4444444444444444	0.5	0.375	0.5
R602	0.8181818181818182	0.8888888888888888	0.6666666666666666	0.8888888888888888	0.6666666666666666	0.7777777777777778	0.6666666666666666	0.6666666666666666	0.8	0.6	0.8888888888888888	0.7777777777777778	0.7777777777777778	0.8888888888888888	0.6	0.7777777777777778	0.6666666666666666	0.4	0.7777777777777778	0.4444444444444444	1.0	0.6666666666666666	0.7777777777777778	0.8	0.7	0.7777777777777778	0.7
USDA110	0.5454545454545454	0.75	1.0	0.75	0.7142857142857143	0.8571428571428571	1.0	1.0	0.6666666666666666	0.625	0.75	0.8571428571428571	0.8571428571428571	0.75	0.4444444444444444	0.4444444444444444	1.0	0.375	0.8571428571428571	0.42857142857142855	0.6666666666666666	1.0	0.8571428571428571	0.6666666666666666	0.5555555555555556	0.8571428571428571	0.5555555555555556
USDA6	0.6363636363636364	0.875	0.8571428571428571	0.875	0.8571428571428571	0.75	0.8571428571428571	0.8571428571428571	0.7777777777777778	0.75	0.875	1.0	0.75	0.6666666666666666	0.4	0.5555555555555556	0.8571428571428571	0.5	1.0	0.5714285714285714	0.7777777777777778	0.8571428571428571	1.0	0.7777777777777778	0.6666666666666666	0.75	0.6666666666666666
WSM1325	0.8181818181818182	0.8888888888888888	0.6666666666666666	0.8888888888888888	0.6666666666666666	0.7777777777777778	0.6666666666666666	0.6666666666666666	1.0	0.7777777777777778	0.8888888888888888	0.7777777777777778	0.7777777777777778	0.7	0.6	0.6	0.6666666666666666	0.5555555555555556	0.7777777777777778	0.4444444444444444	0.8	0.6666666666666666	0.7777777777777778	1.0	0.7	0.7777777777777778	0.8888888888888888
WSM2073	0.7272727272727273	0.6	0.5555555555555556	0.6	0.75	0.5	0.5555555555555556	0.5555555555555556	0.7	0.6666666666666666	0.6	0.6666666666666666	0.5	0.6	0.6666666666666666	0.6666666666666666	0.5555555555555556	0.625	0.6666666666666666	0.5	0.7	0.5555555555555556	0.6666666666666666	0.7	1.0	0.5	0.6
WSM2304	0.6363636363636364	0.875	0.8571428571428571	0.875	0.625	1.0	0.8571428571428571	0.8571428571428571	0.7777777777777778	0.5555555555555556	0.875	0.75	1.0	0.875	0.5555555555555556	0.5555555555555556	0.8571428571428571	0.3333333333333333	0.75	0.375	0.7777777777777778	0.8571428571428571	0.75	0.7777777777777778	0.5	1.0	0.6666666666666666
WSM419	0.7272727272727273	0.7777777777777778	0.5555555555555556	0.7777777777777778	0.5555555555555556	0.6666666666666666	0.5555555555555556	0.5555555555555556	0.8888888888888888	0.875	0.7777777777777778	0.6666666666666666	0.6666666666666666	0.6	0.6666666666666666	0.5	0.5555555555555556	0.625	0.6666666666666666	0.5	0.7	0.5555555555555556	0.6666666666666666	0.8888888888888888	0.6	0.6666666666666666	1.0
